NameofProgram,WeeksDuration,Hours,FullTime,Part Time,Type,Tuition,Active,Category,Without Type,Append,URL,JSON,SMORG,
A+ Network+ And Mcsa Desktop Cert. Prep,34,750,Yes,Yes,Certificate,8510,Yes,IT,A+ NETWORK+ AND MCSA DESKTOP CERT. PREP,,a_network_and_mcsa_desktop_cert_prep,a_network_and_mcsa_desktop_cert_prep_programdata.json,a_network_and_mcsa_desktop_cert_prep.pdf,
Accounting Administrator Diploma With Sage,36,789,Yes,Yes,Diploma,11559,Yes,Accounting,ACCOUNTING ADMINISTRATOR WITH SAGE,,accounting_administrator_with_sage,accounting_administrator_with_sage_programdata.json,accounting_administrator_with_sage.pdf,
Accounting And Business Technology Diploma,41,899,Yes,Yes,Diploma,12729,Yes,Accounting,ACCOUNTING AND BUSINESS TECHNOLOGY,,accounting_and_business_technology,accounting_and_business_technology_programdata.json,accounting_and_business_technology.pdf,
Accounting And Payroll Administrator Diploma,49,1084,Yes,Yes,Diploma,15180,Yes,Accounting,ACCOUNTING AND PAYROLL ADMINISTRATOR,,accounting_and_payroll_administrator,accounting_and_payroll_administrator_programdata.json,accounting_and_payroll_administrator.pdf,
Accounting Bookkeeper Certificate,29,643,Yes,Yes,Certificate,8707,Yes,Accounting,ACCOUNTING BOOKKEEPER,,accounting_bookkeeper,accounting_bookkeeper_programdata.json,accounting_bookkeeper.pdf,
Accounting Clerk Certificate,21,460,Yes,Yes,Certificate,6452,Yes,Accounting,ACCOUNTING CLERK,,accounting_clerk,accounting_clerk_programdata.json,accounting_clerk.pdf,
Addictions Worker Certificate,14,300,Yes,Yes,Certificate,3079,Yes,Community Support Services,ADDICTIONS WORKER,,addictions_worker,addictions_worker_programdata.json,addictions_worker.pdf,
Administrative Assistant Diploma,35,768,Yes,Yes,Diploma,10097,Yes,Business,ADMINISTRATIVE ASSISTANT,,administrative_assistant,administrative_assistant_programdata.json,administrative_assistant.pdf,
Business Administration Co-Op Diploma,6,141,Yes,Yes,Diploma,657,Yes,Business,BUSINESS ADMINISTRATION CO-OP,,business_administration_co_op,business_administration_co_op_programdata.json,business_administration_co_op.pdf,
Business Administration Diploma,6,136,Yes,Yes,Diploma,499,Yes,Business,BUSINESS ADMINISTRATION,,business_administration,business_administration_programdata.json,business_administration.pdf,
