Category,Course Name,Cost
G01 - Keyboarding,Introduction to Keyboarding,$349
G01 - Keyboarding,Keyboard Skill Building Level 1,$389
G01 - Keyboarding,Keyboard Skill Building Level 2,$389
G01 - Keyboarding,Keyboard Skill Building Level 3,$399
G02 - Office Skills,Basic Bookkeeping Level 1,$499
G02 - Office Skills,Basic Bookkeeping Level 2,$449
G02 - Office Skills,Business Math,$399
G02 - Office Skills,Internet Fundamentals,$389
G02 - Office Skills,Microsoft Outlook Level 1,$389
G02 - Office Skills,Microsoft Outlook  Level 2,$399
G02 - Office Skills,Office Procedures Level 1,$399
G02 - Office Skills,Office Procedures Level 2,$399
G02 - Office Skills,Personal Computer Fundamentals,$389
G03 - Word Processing,Microsoft Word  Level 1,$389
G03 - Word Processing,Microsoft Word  Level 2,$389
G03 - Word Processing,Microsoft Word  Level 3,$399
G04 - Spreadsheets,Microsoft Excel  Level 1,$389
G04 - Spreadsheets,Microsoft Excel  Level 2,$389
G04 - Spreadsheets,Microsoft Excel Level 3,$399
G05 - Database Management,Microsoft Access Level 1,$389
G05 - Database Management,Microsoft Access Level 2,$389
G06 - Graphics/Presentations,Illustrator Basics,$829
G06 - Graphics/Presentations,Microsoft PowerPoint Level 1,$389
G06 - Graphics/Presentations,Microsoft PowerPoint  Level 2,$399
G06 - Graphics/Presentations,Microsoft Publisher,$428
G06 - Graphics/Presentations,Photoshop Basics,$829
G07 - Accounting,Payroll Compliance Legislation,"$1,298"
G07 - Accounting,Payroll Fundamentals 1,"$1,298"
G07 - Accounting,Payroll Fundamentals 2,"$1,298"
G07 - Accounting,QuickBooks Premier,$495
G07 - Accounting,Sage 300  Accounts Payable,$495
G07 - Accounting,Sage 300  Accounts Receivable,$495
G07 - Accounting,Sage 300  General Ledger,$495
G07 - Accounting,Sage 300  Inventory Control and Order Entry,$495
G07 - Accounting,Sage 50 Premium Accounting,$799
G08 - Operating Systems,Windows 10 Level 1,$389
G08 - Operating Systems,Windows 10 Level 2,$389
G09 - Business Skills,Business Correspondence Level 1,$499
G09 - Business Skills,Business Correspondence Level 2,$499
G09 - Business Skills,Business Economics,$499
G09 - Business Skills,Business Essentials,$729
G09 - Business Skills,Business Financial Management,$729
G09 - Business Skills,Business in the Digital Age,$499
G09 - Business Skills,Business Law  Ethics,$479
G09 - Business Skills,Business Negotiations and Contracts,$479
G09 - Business Skills,Business Planning,$375
